year,ISO,LiNo,latitude,longitude,Brandt_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,,date,
2009,30,1,22.6393982,120.2869661,19.23076923,0.115384615,13.46153846,12.34567901,232.6923077,,2009/7/20,2009/7/26
2009,31,1,22.6393982,120.2869661,9.259259259,0,9.259259259,6.849315068,59.25925926,,2009/7/27,2009/8/2
2009,40,1,22.6393982,120.2869661,1.923076923,0.019230769,1.923076923,2.127659574,9.615384615,,2009/9/28,2009/10/4
2009,7,1,22.6393982,120.2869661,0,0,0,0,0,,2009/2/9,2009/2/15
2010,11,1,22.6393982,120.2869661,0,0,0,0,0,,2010/3/8,2010/3/14
2010,15,1,22.6393982,120.2869661,2,0,2,1.851851852,6,,2010/4/5,2010/4/11
2010,23,1,22.6393982,120.2869661,1.886792453,0,1.886792453,1.960784314,11.32075472,,2010/5/31,2010/6/6
2010,37,1,22.6393982,120.2869661,10.6741573,0.005617978,8.988764045,10.55555556,94.38202247,,2010/9/6,2010/9/12
2010,39,1,22.6393982,120.2869661,8.928571429,0,5.357142857,10.86956522,107.1428571,,2010/9/20,2010/9/26
2010,44,1,22.6393982,120.2869661,3.773584906,0,1.886792453,5.128205128,69.81132075,,2010/10/25,2010/10/31
2010,45,1,22.6393982,120.2869661,10,0.030769231,7.692307692,14.77272727,116.9230769,,2010/11/1,2010/11/7
2010,6,1,22.6393982,120.2869661,0,0,0,0,0,,2010/2/1,2010/2/7
2010,9,1,22.6393982,120.2869661,0,0,0,0,0,,2010/2/22,2010/2/28
2011,13,1,22.6393982,120.2869661,0,0,0,0,0,,2011/3/21,2011/3/27
2011,16,1,22.6393982,120.2869661,0,0,0,0,0,,2011/4/11,2011/4/17
2011,2,1,22.6393982,120.2869661,0,0,0,0,0,,2011/1/3,2011/1/9
2011,22,1,22.6393982,120.2869661,0,0,0,0,0,,2011/5/23,2011/5/29
2011,26,1,22.6393982,120.2869661,2,0,2,2.564102564,12,,2011/6/20,2011/6/26
2011,3,1,22.6393982,120.2869661,4,0,4,5,20,,2011/1/10,2011/1/16
2011,46,1,22.6393982,120.2869661,3.669724771,0.009174312,3.669724771,5.333333333,40.36697248,,2011/11/7,2011/11/13
2011,47,1,22.6393982,120.2869661,9.595959596,0.025252525,8.080808081,12.83783784,116.6666667,,2011/11/14,2011/11/20
2011,48,1,22.6393982,120.2869661,10.78431373,0.078431373,10.78431373,12.94117647,68.62745098,,2011/11/21,2011/11/27
2011,51,1,22.6393982,120.2869661,0,0,0,0,0,,2011/12/12,2011/12/18
2011,7,1,22.6393982,120.2869661,0,0,0,0,0,,2011/2/7,2011/2/13
2011,8,1,22.6393982,120.2869661,0,0,0,0,0,,2011/2/14,2011/2/20
2011,9,1,22.6393982,120.2869661,0,0,0,0,0,,2011/2/21,2011/2/27
2012,10,1,22.6393982,120.2869661,0,0,0,0,0,,2012/2/27,2012/3/4
2012,12,1,22.6393982,120.2869661,0,0,0,0,0,,2012/3/12,2012/3/18
2012,13,1,22.6393982,120.2869661,2,0,2,2.083333333,10,,2012/3/19,2012/3/25
2012,16,1,22.6393982,120.2869661,0,0,0,0,0,,2012/4/9,2012/4/15
2012,18,1,22.6393982,120.2869661,0,0,0,0,0,,2012/4/23,2012/4/29
2012,2,1,22.6393982,120.2869661,2.857142857,0.047619048,1.904761905,5.454545455,32.38095238,,2012/1/2,2012/1/8
2012,20,1,22.6393982,120.2869661,2,0,2,6.666666667,10,,2012/5/7,2012/5/13
2012,7,1,22.6393982,120.2869661,0,0,0,0,0,,2012/2/6,2012/2/12
2005,10,2,22.6436793,120.2938152,12,0.06,6,18.75,136,,2005/2/28,2005/3/6
2005,15,2,22.6436793,120.2938152,2,0.02,2,4.166666667,60,,2005/4/4,2005/4/10
2005,19,2,22.6436793,120.2938152,6,0.02,2,3.225806452,22,,2005/5/2,2005/5/8
2005,23,2,22.6436793,120.2938152,24,0.04,6,23.07692308,224,,2005/5/30,2005/6/5
2005,26,2,22.6436793,120.2938152,4,0,4,2.380952381,46,,2005/6/20,2005/6/26
2005,27,2,22.6436793,120.2938152,6,0.04,4,5,36,,2005/6/27,2005/7/3
2005,30,2,22.6436793,120.2938152,15.38461538,0.019230769,9.615384615,13.33333333,561.5384615,,2005/7/18,2005/7/24
2005,32,2,22.6436793,120.2938152,6,0.02,6,4.6875,126,,2005/8/1,2005/8/7
2005,44,2,22.6436793,120.2938152,8,0.04,8,8.163265306,236,,2005/10/24,2005/10/30
2005,52,2,22.6436793,120.2938152,8,0,6,8.333333333,58,,2005/12/19,2005/12/25
2006,13,2,22.6436793,120.2938152,1.923076923,0,1.923076923,1.754385965,5.769230769,,2006/3/20,2006/3/26
2006,14,2,22.6436793,120.2938152,0,0,0,0,0,,2006/3/27,2006/4/2
2006,17,2,22.6436793,120.2938152,7.692307692,0,7.692307692,3.03030303,105.7692308,,2006/4/17,2006/4/23
2006,22,2,22.6436793,120.2938152,9.615384615,0.057692308,7.692307692,5.617977528,136.5384615,,2006/5/22,2006/5/28
2006,41,2,22.6436793,120.2938152,8.620689655,0.051724138,8.620689655,10,231.0344828,,2006/10/2,2006/10/8
2006,43,2,22.6436793,120.2938152,10.22727273,0.056818182,5.681818182,4.455445545,170.4545455,,2006/10/16,2006/10/22
2006,51,2,22.6436793,120.2938152,0,0,0,0,0,,2006/12/11,2006/12/17
2006,9,2,22.6436793,120.2938152,7.692307692,0.019230769,1.923076923,4.705882353,132.6923077,,2006/2/20,2006/2/26
2007,1,2,22.6436793,120.2938152,0,0,0,0,0,,2007/1/1,2007/1/7
2007,10,2,22.6436793,120.2938152,6,0,6,5.660377358,144,,2007/3/5,2007/3/11
2007,12,2,22.6436793,120.2938152,8,0.06,4,6.153846154,70,,2007/3/19,2007/3/25
2007,14,2,22.6436793,120.2938152,0,0,0,0,0,,2007/4/2,2007/4/8
2007,16,2,22.6436793,120.2938152,3.846153846,0.211538462,3.846153846,2.898550725,55.76923077,,2007/4/16,2007/4/22
2007,18,2,22.6436793,120.2938152,2,0,2,1.098901099,42,,2007/4/30,2007/5/6
2007,23,2,22.6436793,120.2938152,14,0,14,7.954545455,146,,2007/6/4,2007/6/10
2007,25,2,22.6436793,120.2938152,26,0.02,12,20,362,,2007/6/18,2007/6/24
2007,27,2,22.6436793,120.2938152,8,0.06,4,6.896551724,104,,2007/7/2,2007/7/8
2007,34,2,22.6436793,120.2938152,2,0,2,1.162790698,22,,2007/8/20,2007/8/26
2007,37,2,22.6436793,120.2938152,6,0,6,3.703703704,54,,2007/9/10,2007/9/16
2007,39,2,22.6436793,120.2938152,18,0,12,14.75409836,200,,2007/9/24,2007/9/30
2007,4,2,22.6436793,120.2938152,2,0,2,3.03030303,40,,2007/1/22,2007/1/28
2007,42,2,22.6436793,120.2938152,17.30769231,0.038461538,7.692307692,16.36363636,144.2307692,,2007/10/15,2007/10/21
2007,47,2,22.6436793,120.2938152,9.803921569,0.117647059,7.843137255,5.952380952,121.5686275,,2007/11/19,2007/11/25
2007,52,2,22.6436793,120.2938152,2,0,2,2.380952381,18,,2007/12/24,2007/12/30
2008,11,2,22.6436793,120.2938152,2,0,2,1.162790698,18,,2008/3/10,2008/3/16
2008,13,2,22.6436793,120.2938152,1.960784314,0,1.960784314,1.408450704,11.76470588,,2008/3/24,2008/3/30
2008,17,2,22.6436793,120.2938152,1.923076923,0,1.923076923,1.492537313,7.692307692,,2008/4/21,2008/4/27
2008,21,2,22.6436793,120.2938152,13.7254902,0,5.882352941,8.43373494,145.0980392,,2008/5/19,2008/5/25
2008,24,2,22.6436793,120.2938152,17.64705882,0.078431373,15.68627451,14.0625,223.5294118,,2008/6/9,2008/6/15
2008,27,2,22.6436793,120.2938152,26.92307692,0,13.46153846,15.55555556,213.4615385,,2008/6/30,2008/7/6
2008,4,2,22.6436793,120.2938152,0,0,0,0,0,,2008/1/21,2008/1/27
2008,51,2,22.6436793,120.2938152,0,0,0,0,0,,2008/12/15,2008/12/21
2009,11,2,22.6436793,120.2938152,3.703703704,0,1.851851852,3.703703704,20.37037037,,2009/3/9,2009/3/15
2009,12,2,22.6436793,120.2938152,0,0,0,0,0,,2009/3/16,2009/3/22
2009,15,2,22.6436793,120.2938152,0,0,0,0,0,,2009/4/6,2009/4/12
2009,16,2,22.6436793,120.2938152,5.882352941,0,5.882352941,4.838709677,49.01960784,,2009/4/13,2009/4/19
2009,19,2,22.6436793,120.2938152,1.818181818,0,1.818181818,2,81.81818182,,2009/5/4,2009/5/10
2009,20,2,22.6436793,120.2938152,5.882352941,0,5.882352941,5.769230769,52.94117647,,2009/5/11,2009/5/17
2009,23,2,22.6436793,120.2938152,7.692307692,0,3.846153846,6.349206349,138.4615385,,2009/6/1,2009/6/7
2009,26,2,22.6436793,120.2938152,17.64705882,0.019607843,11.76470588,13.23529412,70.58823529,,2009/6/22,2009/6/28
2009,27,2,22.6436793,120.2938152,1.818181818,0,1.818181818,1.587301587,29.09090909,,2009/6/29,2009/7/5
2009,3,2,22.6436793,120.2938152,8,0,6,6.25,72,,2009/1/12,2009/1/18
2009,31,2,22.6436793,120.2938152,9.836065574,0.032786885,6.557377049,9.836065574,78.68852459,,2009/7/27,2009/8/2
2009,7,2,22.6436793,120.2938152,2,0,2,1.587301587,64,,2009/2/9,2009/2/15
2010,11,2,22.6436793,120.2938152,0,0,0,0,0,,2010/3/8,2010/3/14
2010,15,2,22.6436793,120.2938152,4.901960784,0.009803922,4.901960784,4.424778761,34.31372549,,2010/4/5,2010/4/11
2010,23,2,22.6436793,120.2938152,16.98113208,0.018867925,13.20754717,18,284.9056604,,2010/5/31,2010/6/6
2010,24,2,22.6436793,120.2938152,9.615384615,0.038461538,9.615384615,9.433962264,151.9230769,,2010/6/7,2010/6/13
2010,28,2,22.6436793,120.2938152,3.921568627,0,3.921568627,3.846153846,94.11764706,,2010/7/5,2010/7/11
2010,30,2,22.6436793,120.2938152,6,0,4,4.918032787,52,,2010/7/19,2010/7/25
2010,37,2,22.6436793,120.2938152,27.52293578,0.055045872,19.26605505,11.95219124,498.1651376,,2010/9/6,2010/9/12
2010,6,2,22.6436793,120.2938152,2,0,2,1.408450704,8,,2010/2/1,2010/2/7
2010,9,2,22.6436793,120.2938152,1.923076923,0,1.923076923,1.666666667,55.76923077,,2010/2/22,2010/2/28
2011,12,2,22.6436793,120.2938152,2,0,2,5,4,,2011/3/14,2011/3/20
2011,13,2,22.6436793,120.2938152,0,0,0,0,0,,2011/3/21,2011/3/27
2011,14,2,22.6436793,120.2938152,0,0,0,0,0,,2011/3/28,2011/4/3
2011,16,2,22.6436793,120.2938152,0,0,0,0,0,,2011/4/11,2011/4/17
2011,17,2,22.6436793,120.2938152,0,0,0,0,0,,2011/4/18,2011/4/24
2011,19,2,22.6436793,120.2938152,0,0,0,0,0,,2011/5/2,2011/5/8
2011,21,2,22.6436793,120.2938152,0,0.02,0,0,0,,2011/5/16,2011/5/22
2011,25,2,22.6436793,120.2938152,8,0.02,8,9.090909091,22,,2011/6/13,2011/6/19
2011,29,2,22.6436793,120.2938152,14,0.02,10,12.28070175,58,,2011/7/11,2011/7/17
2011,3,2,22.6436793,120.2938152,0,0,0,0,0,,2011/1/10,2011/1/16
2011,30,2,22.6436793,120.2938152,6,0,4,6.976744186,24,,2011/7/18,2011/7/24
2011,43,2,22.6436793,120.2938152,15.71428571,0,14.28571429,16.41791045,245.7142857,,2011/10/17,2011/10/23
2011,7,2,22.6436793,120.2938152,0,0,0,0,0,,2011/2/7,2011/2/13
2011,8,2,22.6436793,120.2938152,0,0,0,0,0,,2011/2/14,2011/2/20
2012,11,2,22.6436793,120.2938152,0,0,0,0,0,,2012/3/5,2012/3/11
2012,12,2,22.6436793,120.2938152,0,0,0,0,0,,2012/3/12,2012/3/18
2012,19,2,22.6436793,120.2938152,6,0,6,6.52173913,76,,2012/4/30,2012/5/6
2012,28,2,22.6436793,120.2938152,8,0,8,11.42857143,40,,2012/7/2,2012/7/8
2012,5,2,22.6436793,120.2938152,0,0,0,0,0,,2012/1/23,2012/1/29
2012,7,2,22.6436793,120.2938152,0,0,0,0,0,,2012/2/6,2012/2/12
2005,10,3,22.643491,120.2963385,0,0,0,0,0,,2005/2/28,2005/3/6
2005,15,3,22.643491,120.2963385,0,0,0,0,0,,2005/4/4,2005/4/10
2005,19,3,22.643491,120.2963385,0,0,0,0,0,,2005/5/2,2005/5/8
2005,23,3,22.643491,120.2963385,4,0,2,3.703703704,66,,2005/5/30,2005/6/5
2005,27,3,22.643491,120.2963385,10,0.04,6,7.8125,174,,2005/6/27,2005/7/3
2005,29,3,22.643491,120.2963385,8,0,8,4.87804878,66,,2005/7/11,2005/7/17
2005,30,3,22.643491,120.2963385,6,0,6,6.666666667,166,,2005/7/18,2005/7/24
2005,32,3,22.643491,120.2963385,4,0.04,4,3.448275862,44,,2005/8/1,2005/8/7
2005,40,3,22.643491,120.2963385,28.33333333,1.166666667,23.33333333,15.45454545,693.3333333,,2005/9/26,2005/10/2
2005,44,3,22.643491,120.2963385,22,0.06,8,15.94202899,366,,2005/10/24,2005/10/30
2006,17,3,22.643491,120.2963385,9.615384615,0.057692308,3.846153846,4.201680672,113.4615385,,2006/4/17,2006/4/23
2006,40,3,22.643491,120.2963385,7.692307692,0.027472527,5.494505495,6.194690265,103.8461538,,2006/9/25,2006/10/1
2006,9,3,22.643491,120.2963385,0,0,0,0,0,,2006/2/20,2006/2/26
2007,1,3,22.643491,120.2963385,0,0,0,0,0,,2007/1/1,2007/1/7
2007,10,3,22.643491,120.2963385,2,0,2,1.25,52,,2007/3/5,2007/3/11
2007,11,3,22.643491,120.2963385,0,0,0,0,0,,2007/3/12,2007/3/18
2007,14,3,22.643491,120.2963385,0,0,0,0,0,,2007/4/2,2007/4/8
2007,16,3,22.643491,120.2963385,0,0,0,0,0,,2007/4/16,2007/4/22
2007,18,3,22.643491,120.2963385,0,0,0,0,0,,2007/4/30,2007/5/6
2007,24,3,22.643491,120.2963385,10,0.04,12,8.771929825,72,,2007/6/11,2007/6/17
2007,26,3,22.643491,120.2963385,10,0.02,6,6.41025641,172,,2007/6/25,2007/7/1
2007,37,3,22.643491,120.2963385,16,0,6,14.81481481,88,,2007/9/10,2007/9/16
2007,39,3,22.643491,120.2963385,6,0,6,4.761904762,82,,2007/9/24,2007/9/30
2007,4,3,22.643491,120.2963385,0,0,0,0,0,,2007/1/22,2007/1/28
2007,47,3,22.643491,120.2963385,3.846153846,0,3.846153846,3.333333333,26.92307692,,2007/11/19,2007/11/25
2007,52,3,22.643491,120.2963385,0,0,0,0,0,,2007/12/24,2007/12/30
2007,7,3,22.643491,120.2963385,0,0,0,0,0,,2007/2/12,2007/2/18
2008,10,3,22.643491,120.2963385,4,0,2,2.777777778,36,,2008/3/3,2008/3/9
2008,13,3,22.643491,120.2963385,0,0,0,0,0,,2008/3/24,2008/3/30
2008,17,3,22.643491,120.2963385,0,0,0,0,0,,2008/4/21,2008/4/27
2008,21,3,22.643491,120.2963385,5.882352941,0,1.960784314,4.918032787,39.21568627,,2008/5/19,2008/5/25
2008,4,3,22.643491,120.2963385,4,0,2,3.773584906,48,,2008/1/21,2008/1/27
2008,51,3,22.643491,120.2963385,2,0,2,2.43902439,8,,2008/12/15,2008/12/21
2009,12,3,22.643491,120.2963385,0,0,0,0,0,,2009/3/16,2009/3/22
2009,13,3,22.643491,120.2963385,1.818181818,0.018181818,1.818181818,1.587301587,5.454545455,,2009/3/23,2009/3/29
2009,15,3,22.643491,120.2963385,0,0,0,0,0,,2009/4/6,2009/4/12
2009,16,3,22.643491,120.2963385,3.921568627,0,3.921568627,4.347826087,13.7254902,,2009/4/13,2009/4/19
2009,19,3,22.643491,120.2963385,1.818181818,0,1.818181818,1.587301587,49.09090909,,2009/5/4,2009/5/10
2009,20,3,22.643491,120.2963385,0,0,0,0,0,,2009/5/11,2009/5/17
2009,24,3,22.643491,120.2963385,3.636363636,0,3.636363636,3.636363636,7.272727273,,2009/6/8,2009/6/14
2009,26,3,22.643491,120.2963385,5.882352941,0,5.882352941,6.382978723,37.25490196,,2009/6/22,2009/6/28
2009,3,3,22.643491,120.2963385,4,0,4,2.941176471,28,,2009/1/12,2009/1/18
2009,30,3,22.643491,120.2963385,5.454545455,0,3.636363636,6.666666667,32.72727273,,2009/7/20,2009/7/26
2009,7,3,22.643491,120.2963385,0,0,0,0,0,,2009/2/9,2009/2/15
2010,11,3,22.643491,120.2963385,4,0.12,4,3.571428571,120,,2010/3/8,2010/3/14
2010,17,3,22.643491,120.2963385,1.923076923,0,1.923076923,1.886792453,44.23076923,,2010/4/19,2010/4/25
2010,28,3,22.643491,120.2963385,5.769230769,0,3.846153846,7.142857143,32.69230769,,2010/7/5,2010/7/11
2010,30,3,22.643491,120.2963385,9.090909091,0,3.636363636,6.25,152.7272727,,2010/7/19,2010/7/25
2010,37,3,22.643491,120.2963385,16.66666667,0.029411765,14.70588235,17,161.7647059,,2010/9/6,2010/9/12
2010,41,3,22.643491,120.2963385,15.09433962,0,11.32075472,25,203.7735849,,2010/10/4,2010/10/10
2010,6,3,22.643491,120.2963385,1.923076923,0.019230769,1.923076923,1.136363636,7.692307692,,2010/2/1,2010/2/7
2011,1,3,22.643491,120.2963385,0.816326531,0,0.408163265,1.307189542,3.673469388,,2011/1/1,2011/1/2
2011,10,3,22.643491,120.2963385,2,0.02,2,4.166666667,0,,2011/2/28,2011/3/6
2011,14,3,22.643491,120.2963385,0,0.04,0,0,0,,2011/3/28,2011/4/3
2011,16,3,22.643491,120.2963385,2,0,2,1.785714286,6,,2011/4/11,2011/4/17
2011,19,3,22.643491,120.2963385,0,0,0,0,0,,2011/5/2,2011/5/8
2011,21,3,22.643491,120.2963385,2,0,2,2.702702703,28,,2011/5/16,2011/5/22
2011,22,3,22.643491,120.2963385,0,0,0,0,0,,2011/5/23,2011/5/29
2011,25,3,22.643491,120.2963385,0,0,0,0,0,,2011/6/13,2011/6/19
2011,29,3,22.643491,120.2963385,3.921568627,0,3.921568627,4.081632653,9.803921569,,2011/7/11,2011/7/17
2011,43,3,22.643491,120.2963385,12.63157895,0,11.57894737,17.91044776,133.6842105,,2011/10/17,2011/10/23
2011,44,3,22.643491,120.2963385,2,0.02,2,3.846153846,10,,2011/10/24,2011/10/30
2011,7,3,22.643491,120.2963385,0,0,0,0,0,,2011/2/7,2011/2/13
2012,11,3,22.643491,120.2963385,0,0,0,0,0,,2012/3/5,2012/3/11
2012,12,3,22.643491,120.2963385,0,0,0,0,0,,2012/3/12,2012/3/18
2012,19,3,22.643491,120.2963385,0,0,0,0,0,,2012/4/30,2012/5/6
2012,5,3,22.643491,120.2963385,0.588235294,0,0.588235294,1.639344262,2.352941176,,2012/1/23,2012/1/29
2012,8,3,22.643491,120.2963385,0,0,0,0,0,,2012/2/13,2012/2/19
2005,11,4,22.6366375,120.2905709,8,0,6,8.888888889,294,,2005/3/7,2005/3/13
2005,15,4,22.6366375,120.2905709,1.886792453,0.018867925,1.886792453,0.952380952,9.433962264,,2005/4/4,2005/4/10
2005,19,4,22.6366375,120.2905709,4,0,4,3.03030303,54,,2005/5/2,2005/5/8
2005,22,4,22.6366375,120.2905709,10,0.02,10,8.196721311,92,,2005/5/23,2005/5/29
2005,27,4,22.6366375,120.2905709,16.36363636,0.072727273,16.36363636,13.63636364,614.5454545,,2005/6/27,2005/7/3
2005,30,4,22.6366375,120.2905709,9.433962264,0.264150943,9.433962264,4.032258065,198.1132075,,2005/7/18,2005/7/24
2005,31,4,22.6366375,120.2905709,12,0.02,8,10.90909091,90,,2005/7/25,2005/7/31
2005,38,4,22.6366375,120.2905709,12,0.32,10,13.63636364,262,,2005/9/12,2005/9/18
2005,44,4,22.6366375,120.2905709,16,0.02,10,11.5942029,282,,2005/10/24,2005/10/30
2006,10,4,22.6366375,120.2905709,5.555555556,0,5.555555556,3.333333333,124.0740741,,2006/2/27,2006/3/5
2006,13,4,22.6366375,120.2905709,3.846153846,0,3.846153846,2.631578947,32.69230769,,2006/3/20,2006/3/26
2006,17,4,22.6366375,120.2905709,11.53846154,0.038461538,5.769230769,8.571428571,196.1538462,,2006/4/17,2006/4/23
2006,21,4,22.6366375,120.2905709,5.555555556,0.018518519,5.555555556,3.75,46.2962963,,2006/5/15,2006/5/21
2006,44,4,22.6366375,120.2905709,8.333333333,0.083333333,6.666666667,6.756756757,85,,2006/10/23,2006/10/29
2006,46,4,22.6366375,120.2905709,0.826446281,0,0.826446281,0.649350649,4.132231405,,2006/11/6,2006/11/12
2006,51,4,22.6366375,120.2905709,4,0,4,5.263157895,30,,2006/12/11,2006/12/17
2007,1,4,22.6366375,120.2905709,1.886792453,0,1.886792453,1.785714286,5.660377358,,2007/1/1,2007/1/7
2007,10,4,22.6366375,120.2905709,3.921568627,0,3.921568627,4.87804878,45.09803922,,2007/3/5,2007/3/11
2007,11,4,22.6366375,120.2905709,2,0,2,1.818181818,32,,2007/3/12,2007/3/18
2007,14,4,22.6366375,120.2905709,2,0,2,2.564102564,110,,2007/4/2,2007/4/8
2007,16,4,22.6366375,120.2905709,2,0,2,1.086956522,2,,2007/4/16,2007/4/22
2007,18,4,22.6366375,120.2905709,10,0.12,6,12.19512195,188,,2007/4/30,2007/5/6
2007,19,4,22.6366375,120.2905709,8,0.04,6,6.153846154,104,,2007/5/7,2007/5/13
2007,23,4,22.6366375,120.2905709,22,0,16,17.1875,270,,2007/6/4,2007/6/10
2007,25,4,22.6366375,120.2905709,2,0.18,2,2.083333333,6,,2007/6/18,2007/6/24
2007,30,4,22.6366375,120.2905709,4,0.02,4,3.921568627,34,,2007/7/23,2007/7/29
2007,31,4,22.6366375,120.2905709,2.127659574,0.015957447,2.127659574,1.97044335,18.08510638,,2007/7/30,2007/8/5
2007,33,4,22.6366375,120.2905709,0,0,0,0,0,,2007/8/13,2007/8/19
2007,35,4,22.6366375,120.2905709,20,0.02,14,18.18181818,214,,2007/8/27,2007/9/2
2007,37,4,22.6366375,120.2905709,11.76470588,0.019607843,9.803921569,9.836065574,113.7254902,,2007/9/10,2007/9/16
2007,4,4,22.6366375,120.2905709,0,0,0,0,0,,2007/1/22,2007/1/28
2007,40,4,22.6366375,120.2905709,8,0,6,9.756097561,30,,2007/10/1,2007/10/7
2007,42,4,22.6366375,120.2905709,18,0.1,10,16.98113208,300,,2007/10/15,2007/10/21
